,overall,reviewText
3229256,0.0,"Shift key didn't work. C key didn't work. Who knows what else.
 I probably received an item that another customer returned."
1556351,0.0,I received the product and did not work at all. The only thing the turn on was the light and that's it. Do not purchase it is a waster of time honestly!
5203148,1.0,"This item works as advertised.  Only drawback (but I knew this when I bought it)  ..you need to remove your iphone case to use the lens, but the quality of the item is very good and the quality of the pictures are pretty dang good too."
4870147,0.0,"though it may be very handy there are serious issues which manufacturer has to improve
1. remote is very cheap and it does not works. You have to click 50 times to move through the options.
2. power does not lasts more than 10 minutes even after full charging
3. Does not works with you phones, at least not with iphones and ipads.
4. Wires keep on tugging the cube.

Suggest TENKER Mini Cube...much better option"
4706454,1.0,Good laptop for teens or professionals
4309706,1.0,"Arrived early, worked first and every time, no need for programming and easy to use. Highly recommend this remote for Vizio TVs."
840216,0.0,I purchased one of these at Costco.  Unfortunately I had the same problem as other posters (wish I had read reviews before buying) with the DVD halting and skipping.  I tried several DVDs to ensure it was the unit and not my disks.  I returned the unit to Costo and will not replace this unit.  It is too bad because it set up nicely with a matching Samsung LCD TV and sounded reasonably good (though I agree that the subwoofer is a bit strong).  Sometime less is more and in this case it would have been better to skip the DVD rather than put out a device with an apparently high failure rate.
1584336,0.0,Same problem. Burned 6 disks and all 6 were coasters. I also tried it on different computers and still didn't work. I still have 44 disks left. What shall I do with them? Brought them in J&R. 50 for $15. So disappointed on Kodak.
2379430,0.0,"It works at 1/4 the speed of other units.  It is supposed to be USB 3, but works at USB 2 speed.  I bought a different one, and am very happy with it.  I use this one as a paper weight."
5122325,0.0,This is an IR only remote. While it does say so buried in the description it should say it in the title so you can see it in the mobile version of the Amazon store app.
2136124,0.0,"Firwst I used this product connecting with sata 2.5"" HD. This time was working well.
But after that I tried to connect with IDE 3.5"" HD, then I turned on the switch, but indicate lamp didn't lit.
I realized it was not working. It died after use one time.
I don't recommend this product."
538814,1.0,"I bought two of these, since it's great price and my S100 eats a lot. I put two of these in the small camera bag, along with the camera. So three batteries(including the original one) should be enough for any one day event!

Great buy!"
3527962,0.0,"After 6 months it won't feed to both output jacks. only ONE works now... defeating its FIRST purpose!

Once more a DISPOSABLE PURCHASE!"
4681142,1.0,Love these cases! They fit well and are very pretty! I've ordered one for my new Ipad Pro and am anxiously awaiting its arrival!
1067853,1.0,I bought this mp3 for my daughter as a replacement for the one she had lost. She loves it. Everything works fine. I would recommend this to anyone young or old.
6485159,0.0,"The description says its ""High performance CLF200 low loss cable"", which is slightly better than LMR-200.  What I received was RG-174 which is similar to LMR-100, and not even close to LMR-200.  RG-174 is a terrible cable to use for a 25ft run, and there is a huge signal loss!"
2231187,0.0,The drive arrived in inoperable condition. This is the second drive from WD - this exact model that came in broken out of the box. The first clue is that the drive wouldn't mount or be recognized by the system; secondly you can hear the distinctive clicking sound of the arm inside the casing. I wonder if it's something specific to this model or series. Luckily Amazon's refund/return process is fantastic and painless.
2849761,0.0,"Size- great, Features- very good, Battery life- good, Ease of use- ok, Connectivity- bad, In call sound for me- terrible, In call sound for listener- horrific. Its like this: It would not matter how good your car looks if it does not get you from A to B."
4132161,1.0,Works great in 2002 Mazda Protege5 radio!
2681028,0.0,Died soon. Probably counterfeit samsung.
1943352,0.0,"Like many people, I got this so I could run more than just two monitors with my Eyefinity-capable device.  Let me start out by saying that yes, it does that job effectively.

There is something odd, however...

Sometimes, the monitor that is connected with this connector just blinks out now when it didn't used to before this.  It will also do this strange horizontal scroll, just one that is very fast, and then it locks back into place, as though there is a timing issue.  In fact, now that I think about it, timing issues would explain both of those problems, as an active Displayport adapter handles timing (if I understand correctly).  I supposed it's possible that I got a defective unit.  I do know that it isn't the monitor's fault, as it was connected with a passive Displayport adapter before and never gave me one second of grief.

EDIT:  I originally had good feelings about this, but that has changed.  I returned the first adapter after being annoyed with the regular screen blips and blackouts and got a second one.  It did the same thing within the first 30 minutes, so I'm getting a refund on it and trying a completely different adapter.

Take note that this adapter is NOT AMD/ATI certified.  I'm going to try one that claims to have that certification in the hopes that it works as expected.

At this point, I simply cannot suggest this item for purchase."
4103962,0.0,"Most Disappointing Amazon Purchase of 2014!
My Samsung UN75H6350 75-Inch 1080p 120Hz Smart LED TV has better sound than this pricey sound bar.  My brother asked about the sound bar's performance and I did not recommend that he buy one, I have not reviewed others as I am out of patience and money after laboring with this white elephant!  I have not receive a typical low bass sound as expected from the sub woofer.  Like another reviewer mentioned, I have to turn this sound bar up higher than the TV setting to hear it.  When I use the sound bar to augment the TV sound, there is a ms delay echo that forces me to listen to one and turn the other ""off"".  After connecting my wall mounted TV to the Sound bar using a HDMI I got no sound.  Next I tried the audio cable supplied and no sound.  After reading a reviewer's comments, I order an optical through Amazon and it finally worked?  I regret buying this sound bar and cannot recommend this to my relatives and friends.  Since it is wall mounted and wired at great expense it will stray there for ""show and tell"" but as a musician I cannot pretend to tell you this sound is adequate!"
5547956,1.0,"Rediscover your headphones potential. A total new hifi experience through these vacuum tubes. I highly recommend this amp. Whether its for gaming, or classical music, this amp will not disappoint you."
1194182,0.0,"I have had Sirius since 2005. I love Sirius radio, the only issue I have with it is the equipment! I have gone through 4 head units in 5 years. It is very obvious this stuff is built to fall apart. The provided antennas have had to be replaced a few times. the connectors become lose causing the ""no antenna detected"" nightmare. The boom box I also bought in less than 6 months had power cord issues. I've had to take head units apart to solder parts myself just to get a few more miles out of them before buying new ones. They give you the ""luxury"" of being able to move the head unit from one car to another or to the house or boom box, but over time pulling and pushing the head unit from docking stations begins to break it down. With all the money I spent on equipment replacement, I was probably better off from the start just buying 2 head units with 2 subscriptions and never touching the dam things. My starmate 5 just took a crap.it is just about a little over a year old and now I'm off to buy yet another head unit. I recommend Sirius to everyone, but Sirius, your equipment is junk. You should be ashamed to put your name on this crap. My one star review is for this pile of garbage equipment and all other radio equipment Sirius sells. By all means enjoy Sirius, but handle the equipment like a new born baby"
545793,1.0,Great value for the money. Power strip works well and protects my valuable electronics from surges. well made power strip
5361802,1.0,"Love this mouse. Bought one for myself and one for someone else. I've always had good experiences with Logitech. Mouse is quiet, works great, stores the USB counterpart easily inside. Great value, would buy again."
1902801,0.0,After installing this memory in my Dell Dimension 4700 the computer would not start up.  It just beeped.  The specs matched up with what was on Dell's website.  I reinstalled the old memory and the computer started up normally.  I tried installing each memory module separately with the same result.  Not sure if it is the memory or if the specs were not compatible.
3864977,1.0,Great sound at the price. Nothing fancy-but works well in a small office setting.
2423003,0.0,Came with no instructions. Don't know what the little plastic thingies are for. So glad this was cheap cuz I can't get it to work.
1315475,1.0,Love the length and price on the cable. Great product
6361128,1.0,Battery blew up and destroyed the original door.  Charger that came with this remote is useless!!
1265588,1.0,"It's super fast, it's responsive.  It makes you forget how small it is.  I purchased this for out of town trips and I'm very pleased with it."
4633730,0.0,"It's so hard to tell what your getting, from a picture sometimes. I'd pass on these."
2745269,0.0,Dropped my phone and my screen cracked everywhere. Love the look and feel but didn't do as I expected. Not military grade.
3667818,1.0,These really work well.
588144,0.0,No sound out of the right ear speaker on mine. I had to return them.
2135529,0.0,"I bought this to see how well it was built and would work on my Olympus 50-200 zoom, since the manufacturer's hood is both hard to find and costs a premium when one can be found.  I'm glad this was so cheap, and I didn't have to pay shipping. It would cost more for return shipping than I would get refunded.

Shoddy construction. Metal ring is soft, and the rubber hood is warped. Marginal functionality for a standard lens, but not worth it for a telephoto zoom because it's simply too wide. I think the microfibre cloth that comes with it is the more expensive (and effective) of the pair. I can only guess that the people who gave this thing 4 or 5 stars have never used genuinely well made lens hoods."
3908873,0.0,"Very low quality.  As stated, no certifications.  Entire roll (it suggests the cable not be rolled....off the roll it comes on lol) was bad and provided no more than 500kb/s on a short pull."
1247323,1.0,"I have tried Sansa Clips, Fuzes, Ipod classic, nanos and touches, and for ease of use and attractiveness (look) of the player, the Zune 4/8/16gb are the best in my opinion.

The only drawback is you have to use the Zune software to sync music to it, other than that it is perfect!"
5776326,0.0,"Was able to to clone my spinning drive to this.  Everything seemed good. 2 months into use, got ""no bootable media"" bios error.  Haven't used heavily.  Gone for 2 weeks on vacation, so really, this lasted about 1.5 months."
1451631,1.0,I have had this for about a week and so far it has charged well for me.  I have a iphone 3g.
1283060,0.0,"This is my second and last Pelican case. It's now got broken hinges with normal/light after only 2 months use shows how poorly made these Pelican products are.  As a photographer, gear we buy should last.

Pelican should be ashamed of how the quality of the product has gone entirely downhill.

I am no longer a Pelican customer.  Plastic trash."
5889047,0.0,I couldn't get this camera to work with my 5G wifi network. I couldn't connect manually or through the QR code. The website listed on the box is for a packaging company and the website suppose to be for the camera's manufacturer is non existent although it is listed on the box. No customer support number to call and no contact information in the app. Very disappointing.
1887170,1.0,I bought it to replace broken LCD on my daughter's laptop. it was easy to replace and worked great. it has been over a year and it still works.
6220696,1.0,"Attaches just fine, sturdy, haven't had an issue with it."
4114706,1.0,Batteries seem to be working fine.  I will know more after a dozen or so charge cycles.
6220699,0.0,"If the jerks in Amarillo Tx hadn't stolen my original Xm, I wouldn't be buying this. Hope the jerks were happy. They got something, not what they were looking for. Glad it wasn't a gps, but I won't use them. I read maps"
1920112,0.0,Arrived with corrosion on the inner loop of the snap (see picture).
3245511,0.0,"Connectors don't work with the CCA cable purchased, the wires can't get into the crimp ends as the holes are way to small."
4923923,1.0,Super and small. Excellent alternative to an hdd
2857683,1.0,"After one year of use, Its still working perfectly. I hope it can last long time!
The charger blew up and I called Apple for a replacement."
1297478,1.0,"I purchased these headphones to replace a busted pair of red solo beats I had, I was skeptical about how good these headphones were really going to be since I was coming from the best pair of headphones I had ever owned (the beats).  I just did not want to drop another 200 bucks on another pair of beats.  The day I got the XB500s I plugged them into my stereo and I was AMAZED, they sound even better than the beats, the bass is sick on them and the plushy earpieces are wonderful.  You won't regret buying these headphones, especially for the price amazon has them, compared to the 80 bucks Best Buy sells them.  My only complaint is that the headphone cord is kind of short, but that's what extensions are for so its OK I guess."
1025936,1.0,"I love this new camera.  I had a Sony at one time then went to a Kodak with the bigger LCD screen but the pictures on the Kodak do not compare to the quality and sharpness of this Sony.  I was not happy that the date does not show up on the pictures, but it is very simple to add it on the computer.  As soon as my daughter saw this new camera, she bought one too."
1991693,1.0,Easy to use...worked great.
2368895,1.0,I've used Agfa and Tiffen for years now. I choose the Agfa for my lens only because it was half the price of the Tiffen. It is completely flawless and the quality couldn't be higher.
6412755,1.0,"A robust, well-made cable and connectors. Works as desired."
3014273,0.0,"Batteries worked for a very short time. Eventually they stopped communicating with the camera and gave error messages. I rarely used them since they were the backup batteries for my 6d. I take really good care of my equipment so their failure had nothing to do with how they have been stored and handled. I have sent them to a recycler. Don't waste your money on this junk. Buy OEM only, even though it's more expensive. My wife always says ""buy cheap, buy twice."" I should have listened to my wife."
488378,0.0,"We own 3 Ultra 2000 units all purchased within the last 3 months.  One Ultra 2000 ""protecting"" my office computer failed to shield my system from a surge, fried a hard drive, stank up the room.  A second unit failed to shield one of our routers which reset to factory.  I've pulled them out of service, replacing them with line conditioners while trying to figure out my next step.

It seems hardly worth sending the units in on warranty as shipping costs on 30 lb packages are considerable and what I would get back seemingly are units which will pass a surge.

Our 2 APC RS-1200 units left their protected equipment intact.  2 out of 3 Ultra units is NOT a good sign."
6657595,0.0,"I purchased this product almost exactly 2 years ago. It started rebooting intermittently. I swapped everything out until I was convinced that the board was the issue. I called ASUS and was told it was still under the 3 year warranty. You have to pack it up and mail it to them. So, I wrapped it in cardboard to protect the socket and shipped it off. I got an email today that contained an image of bent pins in the CPU socket. It was booting when I was troubleshooting it, and I don't believe I damaged the pins before shipping since I am careful, however I tried to put a cover in the socket from another ASUS motherboard and that may have bent them accidentally. So, the end result is that they want 150$ to fix the socket and repair the board now. This bothers me since the tech told me when I sent it in that I should take pictures to prove it in case they found damage on the board when received. Sounds like this is a common problem with ASUS and so I will be looking for another company who doesn't look for an excuse to not repair their parts. I didn't do it intentionally and its cheaper to buy another board. Goodbye ASUS!"
4604377,0.0,Item is in poor shape- scratches and cracking along edges as well as what just seems to be an overall defective case.
6188639,0.0,"It was obvious that the product was very cheaply made from the moment I began to use it.  The colors darken quickly as soon as you move away from a head-on viewing angle.  The resolution is lower than claimed in the description.  The arm to prop up the frame is constructed such that the frame leans too far back, which makes for a poor viewing angle.  I have to push the buttons on the remote very hard several times before the picture frame receives the signal.  The SD memory card slot does not have spring action, which means it will eventually wear out after many uses and the SD card will not stay in the slot.  Memory card slot faces down, further ensuring that the memory card will fall out.

I am returning this product and plan to buy a replacement in a store where I can try before I buy."
5924041,1.0,This is a slightly different design from other Fintie cases we have. There are folds in the front cover as opposed to solid. Works well. Kindle goes to sleep when case is closed. Kindle is awoken when cover is opened.
6640634,0.0,"Poor shielding, I get reports of ""motorboating"" when used with my TYT MD-380."
488277,1.0,Fine and useful product
6114235,1.0,This quality item was delivered on time. I like the packaging.
5235679,1.0,Works great and really gets the job done
3553879,1.0,"Good name brand, straight forward. Works as needed"
1029858,0.0,"April 2012... My package did not contain this product, a behind the head, binaural (both ears) headset.  What was shipped was a monaural over-the-head headset.  The bags inside the box were labeled with the expected product, but what was inside was incorrect.

I contacted Amazon and was told this wouldn't happen again. They shipped replacements... with the same issue.  I've returned for refund.  Clearly, their supplier has mislabeled the product and the automated warehouse is simply picking and shipping.  My plea for human intervention fell on deaf ears so I'm not sure what it takes to get their attention.

The product itself is okay.. if you get the right one.  I've had several.. .although.. be aware every set I've had has broken in the middle of the back... so I've ended up taping them back together and they last for a year or so. It's a weak point in the design.  Unfortunately, there aren't many options in this form-factor.

But for Amazon not to listen (and act) when informed of such an obvious problem is..well.. problematic.

FYI  Radio Shack has the same product for a couple dollars more."
6694718,1.0,Low profile works for me. Stayed connected after it is paired.
6003445,1.0,"A Christmas gift to my son, he loves it and it sounds really great. Can't believe the sound comes from a small unit! And it is waterproof! Well worth the money."
2295033,0.0,"The thumbnail is not painted like the photo.  It does look weird (which is why I bought it). However, I repeat.  IT DOES NOT WORK!"
1022664,0.0,"The unit sent to me did not work with any of my devices - either Apple or Android.  It was a unit that had been previously returned to Best Buy as evident from the retape job using their labeled tape.  This is completely unacceptable to sell as a 'new' item.

The label on the package also had a stocking date of 4 years ago!  This product is NOT the newer version of this product which I've successfully used before with all of my devices.  I was trying to replace that item by purchasing this 'new' item, but clearly it wasn't up to par.  It does NOT work with newer devices - especially ones that need more than .5A of charge current to work.

It's not clear if the used product sent to me was actually defective or just underpowered, but it did not work at all for me."
1451754,0.0,"In 1.5 hours of driving, this charger couldn't get the battery past the halfway point. This was tried on 3 different cars. I'm throwing it out because it is too frustrating to deal with."
892646,0.0,Couldn't get it to work at all..called customer service for a solid week - just hold music - never spoke with a customer service rep. Sent it back.
2180515,0.0,There must be something I missed reading the add. Mini was meant for extremely tiny. you can shut your entire hand around this and no one would know you were holding something. Thank god my neighbor had a mouse to give me. What a crook you have to be to sell this for that price.
2842735,1.0,"If you are in the market for CP.2's, Canon L lenses, or better than you have deeper pockets- even still this lens will impress you.  On a Black Magic Cinema Camera, this lens is great.  Just don't forget the crop factor makes it closer to a 50 to 55 mm lens. Wide open it seems pretty sharp- nice since usually 2 stops down is generally sharpest for lenses. I love the de-clicked aperture.  I also use a tokina 11-16 in order to cover wider focal lengths, so I can appreciate  being able to smoothly dial the aperature up and down at will.  Its all digital clicking with the tokina."
2928553,1.0,good value for the money
3039374,0.0,"Cheap, China made plastics that don't hold up clarity. These filters make photos worse to be honest."
5692808,0.0,Flimsy - lack of universal dongle creates environmental nightmare
3199911,0.0,Total Junk. Would not take a charge and would not synch with any devices (while plugged in.)
1162727,1.0,works fine. built well
68104,1.0,"This is a super camera, so easy to use.  From out of the box to snapping pictures was a matter of minutes.  Install the software FIRST as instructed, then quickly plug in the USB cord, it will open the images, load them to a website, email them or your can send them to your harddrive.  It opens a fold in My Pictures for you.  You just check which pictures you want to keep and which you want to get rid of.  You have the option of keeping the images on the smart card or you can erase them.
So from box to shooting a few minutes, about 5 to install and reboot.  Second to plug in to the computer and instant pictures of SUPER quality.  I could not believe how sharp the images were.
You are able to chose to look threw the lens to set it up as with regular SLR.  Or you can compose by looking at the LCD image. Once the image is snapped it shows you a copy on the LCD viewer so you can see the shot. It has 6 times zoom and auto flash.  Even has microphone setting and you can take small movies with and play them in quick time.
Do recommend adding the 125MB smart card and you can snap till your hearts content!
This is just amazing for this price!"
1274106,0.0,I bought this spare charger to leave in the boat so I wouldn't have to transfer anything out of the truck other than the Sirius radio. The original adapter that came when my Sportster 3 was new is still working.  The insulator between the inner and outer conductors on the plug fell out of this counterfeit piece of junk so it stopped working.  Never again.
426714,0.0,"When I bought this product I did so on the basis of a Vista beta driver posted on their website - dated 5/2007. Incredibly, 4 months have passed since I purchased and the same non-functional beta driver is still the only thing posted.  Install this driver and the product will not install every time.

I have emailed the company with no satisfactory response.  If you ever intend to go beyond XP avoid this company at all cost.  Their other products too because they still list this product as current yet do not support it.  A very bad sign for the integrity of a company.

AVOID BEWARE AVOID BEWARE AVOID BEWARE AVOID BEWARE AVOID BEWARE AVOID BEWARE AVOID BEWARE AVOID BEWARE AVOID BEWARE AVOID BEWARE"
4768226,0.0,Bought these for my daughter and they only lasted 3 months until one of the speakers in the headphone stopped working.
2752225,1.0,I have it attached to a desk top lamp close to my listening station. It's very sturdy and looks good.
871486,1.0,Enjoying the rolling bookbag.....very helpful with getting get my books around....
5513760,0.0,Unit does not allow Screen to open on a Sony A77II.
1601724,1.0,"The Banana Plugs work as advertised.  I had 14AWG wire and didn't need to double over the wire to get a connection, but it felt more secure to double over the wire.  Works great and would buy again."
5473287,1.0,Great alternative to APPLE OEM. Works perfect and appears to be more rugged.
1167455,1.0,"Hauppage wins again for the video capture card of my choice.  I have been using this particular brand for several years, and have been pleased for most of the years.  Some of the software is quirky, and definitely not user friendly. You really have to know what you are doing with this board."
4261785,1.0,"Great image quality in light and dark. These have very good range at night, and the color in day is very sharp. Liked it so much I bought 4 more."
2538026,1.0,Looking for a antenna this is the one I have no issues with it whatsoever
5226352,0.0,Wet application process ruined my screen. Do not buy this product!
6366921,0.0,"Amazon didn't specify that this battery would fit the newer HC-V550, but after reading some reviews where the little nub can be removed to make the battery physically fit the camera, I bought it. I removed the nub and the battery mounts on the back of the camcorder perfectly. After charging, however, I get a message that this battery can't be used and the camcorder shuts down after a few seconds.

I really have to question why Panasonic feels the need to change batteries from very similar cameras when there is no reason to or to put in sensing circuitry to stifle consumers from using competing, and cheaper, brands. I suppose it's because of their idiotic prices for their brand of batteries.

I will give this battery to my wife to use on her HC-V500, which it does fit on and works properly."
4866119,0.0,I wanted a fast charger for my Samsung Galaxy S6 edge...I hoped this worked fine...but it doesn't. Apparently only the original Samsung are great...and just found out Walmart sales the originals for less than $8.00.
382145,1.0,"Fantastic clamp !  Could not find in any bike or camera places.  Mounts great on your bicycle,Car , window in seconds !  Must Buy also provider of product was great. On time and great price, have used product at least 8-times or more for filming my Mountain bike rides !"
5707629,0.0,"Worked great for a few weeks, then stopped being recognized by my iPhone and iPad!"
511598,1.0,"This surge protector is huge! I have more than enough outlets with this, and it looks really cool! Loving it :)"
4960765,0.0,These sound like two tin cans horrible horrible sound. The fit eh soso but the sound makes you want to burn the headphones. They are a poor copy of shure headphones just spent the extra money.
3363241,0.0,I received this computer and proceed to charge it  prior to my first use.  i went to turn it on and the power button was not responding at all.  i disassembled it and realized that the power switch had become un soldered.  i had to re solder the power switch to the mother board.  From there i was able to turn the computer on.  once it booted i realized that the hard drive had not been wiped and in fact had a user account on it which was locked with a password which made it IMPOSSIBLE for me to restore it back to factory condition.  this is a major pain for me as i am deployed over seas right now and have no access to all the tool i need.  Needless to say i had to put another hard drive into it and install a copy of windows 7 i have since i don't own windows 8.  so now the computer partially works and i am un able to download the required drivers from acer to make it work.  and those drivers are for windows 8 not windows 7 so they probably won't work when i get the chance to download them.  I would love a restore disk but this thing came with minimal paperwork.  This is a complete unprofessional job.  if i wasn't over seas i would be returning this product.
3053867,1.0,Purchased this 64GB memory card for my new LG G4 phone. Wanted a lot of room for music and taking photos. Chip working great - no problems. I'm happy with my purchase.
5178805,0.0,"Well this is my last bose purchase, i bought computer speakers, headphones, i always love it but i don't know whats wrong with this company i guess is like apple since the company founder pass away this companies going really poor quality. I bought the soundlink mini 2 for my surface tablet, first the sound breakups not that bad but still annoying then i decide to call bose this was unacceptable for a 200 dollars speaker then after do all the updates no more break up sound now i have an annoying scratch in  sound noise coming from the speakers all the time nothing is playing i kinda go upset and exchange for the same product well the second one had the same issues but i can added bluetooth disconnecting and when actually works the music come out with a little clipping noise like something is loose inside well i decide to pair my tablet with my amazon echo and guess what, beautiful no issues means bose is the problem the only good thing is that amazon have a excellent return policy. After this I'm done with bose. My friend have a JBL CHARGE 3 and is amazing, still i need a portable one and im moving to JBL"
2712513,1.0,"You'd think you can't get anything good for a price like this, and yet! I am very happy with the close-up attachments, and have been using them with my prime for natural-light indoor shots."
5358119,0.0,Complete crap!  Constant artifacting in the video feed.
5675525,0.0,"it came defective, and I returned."
5088700,0.0,"Caution with this item! Both my wife's and my phone were fried because of these. Mine happened first, and the cable actually melted to my phone and it had to be replaced. A week later, and one of the other cables, my wife's phone then did the same thing! CAUTION CAUTION CAUTION."
6072432,1.0,"My expectations were very low. I actually kind of bought this assuming that it would be a failure and go right back to Amazon. But, I'm shocked at how usable it really is. My use is games (casual games) and iTunes (to fill my waterproofed iPod Shuffle) and just as back up for if/when my older Windows PC has issues. I also wanted to try out Windows 10.  It works perfectly well for all of this. Nicely actually.

I bought a 64 GB mini SD card to leave in the slot for storage.

Yes, the trackpad sucks and screen/tablet does tend to get really hot while charging. (BUT the charger is a simple tiny ac plug instead of a big, heavy brick.) It's lightweight and if/when I go on a short trip, I may well take this with me instead of a laptop.

I paid $119 and it is certainly one of the best bargains I've ever lucked into."
6406293,1.0,"simply the best USB 3.0 hub with 10 ports..

compatible with Win8 and OSX. I have a mac mini with 6 external HDDs and SDDs and this helps me do transfer between them really fast at USB 3.0 speeds!"
4079070,0.0,"Hardly works at all.  sometimes I can get 8 stations, but most of the time I can get only 4.  A friend of mine uses a different product and gets 40-50 channels"
3487026,0.0,"This was very disappointing.....

Hooked it all up and it didn't get as many channels as a cheap antenna when this costs more than 10x than that and is suppose to have a 60 mile range...

With the amp plugged in I can get 1 channel (NBC). With the amp removed I get ABC, NBC, FOX. My old antenna got CW and CBS as well. Both have a problem with dropping signal for 5-10 seconds on just about every channel. Its pretty unforgivable that the powered amp that comes with this antenna gives worse performance instead of better. This is the first amazon branded product I have gotten that has really disappointed. Given how much I loathe getting into the attic crawl space needed to get to the antenna its not worth it for me to take the thing down and return it, otherwise I would..."
4371229,1.0,I bought 3 of these and they all work great!
2859980,1.0,The perfect size for using as a PC monitor.  Plus with internet access I can quickly switch from PC to internet and keep my PC off line. Picture quality is outstanding for viewing movies and the white for reading books and e-mail makes it easy on my eyes.
166520,1.0,"Strong, sturdy pages! Great price"
3983124,0.0,Doesn't charge my kindle at all. You get what you pay for I guess
856933,0.0,"Doesn't work, no instructions, cannot communicate with the vendor (language barrier) took a long time to arrive and not really worth the hassle of returning.  Don't buy it spend a little more and get one that actually works.  I figured for the cheap price I woudnt expect much but I did expect it to work on some level."
4019611,0.0,"When I purchased my Google Android, Amazon was showing this item saying many people purchased this when they bought their Android.  It's a great idea but just doesn't work
with the Google Android.  I found information on how to hack a power cable and get it
to work but the instructions are not that clear.  I am going to do like some others said and just keep it as a protective cover."
924620,0.0,Didn't come with all the necessary hardware. Very disappointed.
301053,1.0,"If you have not yet suffered a complete and total hardrive crash, just wait , you will.  Be prepared with an exact copy of all your data with this Seagate External Drive.  Setup is as easy as plugging in to a power source and a USB or Firewire port.  Using a USB port I copied 30 gigabytes in far less than two hours.  It's a great feeling knowing that everything is backed up.  Options allow you to be selective so that regularly scheduled backups only require a few minutes.

  A few reviewers' complained about the noise, it's minimal during backup and afterwards there is a neat little on/off switch on the back.  I suspect that the drive noises that you hear after backup are all those little pieces of software attempting to ""call home"" as they do on your internal drive.  This unit is cheap insurance against the day that you get the blue screen of death.  A software upgrade, there's always a slight catch, allows the external drive to become a bootable device.  Buy it and use it for your peace of mind....Lynn Stubblefield, Nashville, TN"
4422496,0.0,"Junk, signal degrades. One side already not working, so i have a useless switch now after a couple of months. Only good thing about it is dirt cheap."
3824063,0.0,"If I could give it 0 stars I would. I tried to put the back of the screen protector on and it did not match up at all. I work for one of the top Wireless Carriers so I apply screen protectors all of the time and I'm really good at doing so, so I know what I'm doing but this screen protector would NOT line up with my iPad air. I tried to move it around for over 20 minutes to see if I could get it to line up and nothing. I was so frustrated so I didn't even try to apply the front protector and I returned it."
4767533,0.0,"Really nice. But it has developed a ""Bad"" crease on the outside part of both sides but not even with each other. Why? I have no clue...  I do love it but it looks like heck and I wrote (email) to the company and got NO REPLY!! "
1114810,1.0,Very Big Background for a decent price. Just need some clips and a regular ironing as it is too big to store without folding unless you roll it.
5046109,0.0,"This should have a notice about the incompatibility with Uniden phones on the main page.  It's right there in the user manual, but no mention of it in the item description.  I purchased this to suppress the first ring that nomorobo allows through.  Can't do that without sacrificing caller ID on my Uniden phone.  Completely useless for me."
3131856,1.0,Bought to Use inside of a Retro game console i saw on youtube. Built inside of an NES game case. Worked very well for this use!
2906238,1.0,Repair kit was great! It took forever to get the old foam off but putting the new foam was a breeze. Totally recommend!
1055076,1.0,"GREAT sound without being overbearing. I went through a lot of clock radios and then having to deal with their subsequent returns. I should have known better. Sangean is fussy about their radios. Excellent reception and excellent sound. If you love to listen to the radio at night, this radio is for you. I listen to classical after bedtime, then talk after midnight. This radio is perfect for both."
2931674,0.0,Never even got them hooked up. The finish was chipping off and they are particle board. I didn't see anywhere in the description that they are particle board. I didn't expect real wood but would have preferred plastic. Not for me.
55514,1.0,"I use quite a few maxell products, and I've never been disappointed.  These standard grade allow me to tape over them several weeks before they begin to have dragging or skipping, but I do push the limit sometimes (forget to date them).
Highly recommend these standard garde 6-hr tapes - I am still w/the old equipment technology and love it more."
3343305,1.0,"Great cables, they perform exactly as advertised.  Have had no issues with them.  What else can I say --they are extension cables."
1680203,0.0,"Item was never shipped. One of two separate orders sent from Nevada. Neither one was shipped. I have Amazon Prime so they should have gone 2 day Air.  Eventually got an email that the shipment was ""undeliverable"" UPS status says only that ""billing information received"" If you expect to get the goods, don't order this item because something is fishy in Nevada. I'm not going to order again because they raised the price."
6223642,1.0,"Simple, works as a matrix 4x2 switch should.  Any input to any output, one input to two outputs works fine.  My switch is connected via HDMI and Cat6 HDMI extender connectors to two displays that are far apart, but share the same acoustics (Great Room and Kitchen).  The synchronization is spot on.  Switching lag is reasonable.  This unit is my 3rd Matrix switch in this configuration, this one works, the others did not perform reliably, this one does.

The unit is quite small, Input 1 is only on the front, all other connections are across the back.  Since I only needed 3 inputs, this works fine for me, but I was surprised.  As others have indicated, the instructions are poor, the remote small but functional."
5510048,0.0,"I purchased this product and it is not working properly after a while. It's not connecting, even after the trouble shooting they asked me to do. It is still under warranty period. So I requested for a replacement based on their own warranty policy. However, I can't believe a big company like Logitech would do this... They just ignored my request after I sent them the information they need (receipt, S/N, and other product and purchase information). I really did not expect a big company like Logitech could be dishonest like this and refuse to fulfill their own warranty policy. Worst service ever!"
